Month,Year,State,Count_Staff_Shortage_Yes,Count_Staff_Shortage_No,Count_Covid_Cases,Hospitals_Covid_Cases,Count_Beds,Count_Beds_Used,Count_Beds_Used_Covid,Bed_Utilization,Pct_Patients_Covid,Bed_Utilization_Covid
2,2022,HI,3,16,13,24,2494,1936,359,0.776263031,0.185433884,0.143945469
2,2022,MN,18,60,61,130,9188,7780,1489,0.846756639,0.194818788,0.165224146
2,2022,WV,1,9,44,59,5692,4804,1302,0.843991567,0.277848912,0.235272859
2,2022,NY,5,162,443,169,44963,35740,7238,0.794875787,0.204573076,0.163176049
2,2022,MA,0,5,61,82,16840,14034,1673,0.833372922,0.120186782,0.100161648
1,2022,NY,10,187,387,198,48182,36648,9695,0.760615998,0.266844655,0.203663635
2,2022,CA,15,83,175,368,64853,52070,13529,0.802892696,0.262990106,0.211146487
1,2022,DE,2,11,8,14,3375,2536,531,0.751407407,0.211469534,0.15902965
1,2022,NC,10,110,31,128,23201,17751,2970,0.765096332,0.169182569,0.129473822
2,2022,NH,2,22,6,29,2729,2280,319,0.835470868,0.139912281,0.116892635
2,2022,RI,1,0,31,13,2296,1943,272,0.846254355,0.139989707,0.118466899
1,2022,WA,15,86,47,103,12203,9938,1170,0.814389904,0.118673293,0.096982759
2,2022,DE,1,8,12,10,2937,2292,407,0.780388151,0.179690949,0.140393239
2,2022,TN,29,89,58,118,18530,13625,3604,0.735294118,0.270002997,0.197967591
1,2022,MD,10,45,18,59,11670,9572,2856,0.820222793,0.300157646,0.246887967
